Rank,Title,Studio,Worldwide,Domestic,%,Overseas,%,Year^
401,300: Rise of An Empire,WB,$337.6,$106.6,31.6%,$231.0,68.4%,2014
402,Batman Forever,WB,$336.6,$184.1,54.7%,$152.5,45.3%,1995^
403,Prince of Persia: The Sands of Time,BV,$336.4,$90.8,27.0%,$245.6,73.0%,2010
404,Over the Hedge,P/DW,$336.0,$155.0,46.1%,$181.0,53.9%,2006
405,Journey 2: The Mysterious Island,WB (NL),$335.3,$103.9,31.0%,$231.4,69.0%,2012
406,The Rock,BV,$335.1,$134.1,40.0%,$201.0,60.0%,1996
407,The Great Wall,Uni.,$334.9,$45.5,13.6%,$289.4,86.4%,2017
408,Now You See Me 2,LG/S,$334.9,$65.1,19.4%,$269.8,80.6%,2016
409,The Curious Case of Benjamin Button,Par.,$333.9,$127.5,38.2%,$206.4,61.8%,2008
410,Indiana Jones and the Temple of Doom,Par.,$333.1,$179.9,54.0%,$153.2,46.0%,1984
411,Tomorrow Never Dies,MGM,$333.0,$125.3,37.6%,$207.7,62.4%,1997
412,The Good Dinosaur,BV,$332.2,$123.1,37.1%,$209.1,62.9%,2015
413,Back to the Future Part II,Uni.,$332.0,$118.5,35.7%,$213.5,64.3%,1989
414,22 Jump Street,Sony,$331.3,$191.7,57.9%,$139.6,42.1%,2014
415,Fantastic Four (2005),Fox,$330.6,$154.7,46.8%,$175.9,53.2%,2005
416,Meet the Parents,Uni.,$330.4,$166.2,50.3%,$164.2,49.7%,2000
417,Who Framed Roger Rabbit,BV,$329.8,$156.5,47.4%,$173.4,52.6%,1988
418,Black Swan,FoxS,$329.4,$107.0,32.5%,$222.4,67.5%,2010
419,The Perfect Storm,WB,$328.7,$182.6,55.6%,$146.1,44.4%,2000
420,Crocodile Dundee,Par.,$328.2,$174.8,53.3%,$153.4,46.7%,1986
421,Seven,NL,$327.3,$100.1,30.6%,$227.2,69.4%,1995
422,The Devil Wears Prada,Fox,$326.6,$124.7,38.2%,$201.8,61.8%,2006
423,Taken 3,Fox,$326.5,$89.3,27.3%,$237.2,72.7%,2015
424,The Hunchback of Notre Dame,BV,$325.3,$100.1,30.8%,$225.2,69.2%,1996
425,A Christmas Carol (2009),BV,$325.3,$137.9,42.4%,$187.4,57.6%,2009
426,The SpongeBob Movie: Sponge Out of Water,Par.,$325.2,$163.0,50.1%,$162.2,49.9%,2015
427,John Wick: Chapter 3 - Parabellum,LG/S,$323.4,$171.0,52.9%,$152.4,47.1%,2019
428,Schindler's List,Uni.,$322.1,$96.9,30.1%,$225.2,69.9%,1993^
429,Megamind,P/DW,$321.9,$148.4,46.1%,$173.5,53.9%,2010
